method,cs_mean,cs_std,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,fi_rows
FP32 baseline,0.9405423164367676,0.08013879801668368,22.76059181690216,2.2358105454916055,0.18323244616622106,0.11212483264454556,0.5213106673210859,0.06067959643296781,160
Naive int4 + Direct FIA,0.6621457099914551,0.23009235475597384,22.149712884426116,2.074360150214908,0.1410268684499897,0.07856033073907809,0.6486153248697519,0.07943480559636915,160
Randomized ensemble avg,0.4411922939121723,0.05177690337576529,11.225390514731407,2.0022529927103387,0.09757048554020002,0.05518111513208293,0.7457694951444864,0.05322936863598785,160
QGM FIA gm=0.0001 b10,0.6590542793273926,0.230829336869733,9.712561669945718,1.478499039025587,0.02561627323339053,0.011979551844831545,0.6894147787243128,0.06537045975931037,160
