member,cs,lpips,psnr,ssim
k00,0.13490047454833984,0.7380363021045924,11.304873299598693,0.1054050661274232
k01,0.13523240089416505,0.736827077716589,11.310897693037987,0.10742946164682507
k02,0.1344818353652954,0.7371851954609155,11.29651282429695,0.10543565506814048
k03,0.1349867582321167,0.7371695190668106,11.29461550116539,0.10587449411395937
k04,0.13521589040756227,0.7392820373177529,11.303270736336708,0.10564922172343358
k05,0.13469181060791016,0.7373052045702935,11.317540654540062,0.10748787742340937
k06,0.13463693857192993,0.7379275824874639,11.28969304561615,0.10457965343957767
k07,0.13484599590301513,0.737612721696496,11.31724080145359,0.10648253175895661
