batch,iter,loss,loss_fi,loss_tv,loss_gm,psnr,ssim,lpips,time,gm
0.0,0.0,0.9759925007820129,0.7099292278289795,2.21187686920166,448.7554626464844,8.93425765633583,0.01771976368036121,0.7619325630366802,3.0,0.0001
0.0,500.0,0.35958364605903625,0.21636375784873962,1.3388724327087402,93.32633972167969,9.814593195915222,0.03127552638761699,0.7085097245872021,31.0,0.0001
0.0,999.0,0.27066969871520996,0.16190581023693085,1.0869640111923218,0.6747350692749023,10.183520287275314,0.03815635456703603,0.6997956372797489,30.0,0.0001
0.0,0.0,1.3832935094833374,0.713546097278595,2.21187686920166,448.5597229003906,8.933617174625397,0.01770859834505245,0.7620655745267868,4.0,0.001
0.0,500.0,0.9387465119361877,0.6118639707565308,2.154273748397827,111.45511627197266,8.763268291950226,0.020083692274056375,0.7545714303851128,30.0,0.001
0.0,999.0,0.8507719039916992,0.5805354714393616,2.0902514457702637,61.21126937866211,8.856188118457794,0.0206578834913671,0.7510849498212337,30.0,0.001
0.0,0.0,5.418877601623535,0.7099290490150452,2.21187686920166,448.776123046875,8.933470129966736,0.017683299665804952,0.7618297748267651,4.0,0.01
0.0,500.0,1.9451532363891602,0.6646185517311096,2.2731549739837646,105.3219223022461,8.60834950208664,0.017806169780669734,0.7603001110255718,30.0,0.01
0.0,999.0,1.3195233345031738,0.656862199306488,2.256685256958008,43.699256896972656,8.642210245132446,0.017994406254729256,0.758275493979454,30.0,0.01
0.0,0.0,45.80760192871094,0.7099295854568481,2.21187686920166,448.76483154296875,8.933680981397629,0.01770616421708837,0.7620002403855324,4.0,0.1
0.0,500.0,9.789037704467773,0.6709820032119751,2.288299560546875,88.89225769042969,8.596319288015366,0.018616755201946944,0.761959008872509,31.0,0.1
0.0,999.0,4.985846996307373,0.668188214302063,2.27750301361084,40.899085998535156,8.62299793958664,0.018693738034926355,0.7601746320724487,30.0,0.1
