method,cs_mean,cs_std,n_rows
FP32 baseline,0.9405423164367676,0.08013879801668368,1280
Naive int4 + FastICA,0.6621457099914551,0.23009235475597384,1280
Randomized ensemble avg,0.4411922939121723,0.05177690337576529,160
QAS objective scale-fixed,0.2146984815597534,0.12420630758963096,1280
